"VE_REF","VE_FLT","VE_COU","VE_LEN","VE_KW","VE_TON","FT_REF","FT_DCOU","FT_DHAR","FT_DDAT","FT_DTIME","FT_LCOU","FT_LHAR","FT_LDAT","FT_LTIME","LE_CDAT","LE_STIME","LE_ETIME","LE_SEQNUM","LE_GEAR","LE_MSZ","LE_RECT","LE_MET_level6","LE_UNIT","LE_EFF","LE_EFF_VMS","LE_KG_ANF","LE_KG_BAG","LE_KG_BIB","LE_KG_BLL","LE_KG_BRB","LE_KG_BSS","LE_KG_COD","LE_KG_COE","LE_KG_CRE","LE_KG_CSH","LE_KG_CTC","LE_KG_DAB","LE_KG_DGS","LE_KG_ELE","LE_KG_ERS","LE_KG_FLE","LE_KG_FPP","LE_KG_GUG","LE_KG_GUR","LE_KG_GUU","LE_KG_HAL","LE_KG_HER","LE_KG_JAX","LE_KG_JOD","LE_KG_LBE","LE_KG_LEM","LE_KG_LIN","LE_KG_MAC","LE_KG_MUR","LE_KG_MZZ","LE_KG_NEP","LE_KG_PIL","LE_KG_PLE","LE_KG_POK","LE_KG_POL","LE_KG_RAZ","LE_KG_RJC","LE_KG_RJH","LE_KG_RJM","LE_KG_SBR","LE_KG_SBX","LE_KG_SCE","LE_KG_SME","LE_KG_SOL","LE_KG_SPR","LE_KG_SQU","LE_KG_SRX","LE_KG_TIG","LE_KG_TUR","LE_KG_WEX","LE_KG_WHE","LE_KG_WHG","LE_KG_WIT","LE_EURO_ANF","LE_EURO_BAG","LE_EURO_BIB","LE_EURO_BLL","LE_EURO_BRB","LE_EURO_BSS","LE_EURO_COD","LE_EURO_COE","LE_EURO_CRE","LE_EURO_CSH","LE_EURO_CTC","LE_EURO_DAB","LE_EURO_DGS","LE_EURO_ELE","LE_EURO_ERS","LE_EURO_FLE","LE_EURO_FPP","LE_EURO_GUG","LE_EURO_GUR","LE_EURO_GUU","LE_EURO_HAL","LE_EURO_HER","LE_EURO_JAX","LE_EURO_JOD","LE_EURO_LBE","LE_EURO_LEM","LE_EURO_LIN","LE_EURO_MAC","LE_EURO_MUR","LE_EURO_MZZ","LE_EURO_NEP","LE_EURO_PIL","LE_EURO_PLE","LE_EURO_POK","LE_EURO_POL","LE_EURO_RAZ","LE_EURO_RJC","LE_EURO_RJH","LE_EURO_RJM","LE_EURO_SBR","LE_EURO_SBX","LE_EURO_SCE","LE_EURO_SME","LE_EURO_SOL","LE_EURO_SPR","LE_EURO_SQU","LE_EURO_SRX","LE_EURO_TIG","LE_EURO_TUR","LE_EURO_WEX","LE_EURO_WHE","LE_EURO_WHG","LE_EURO_WIT"
"1536","GNS_DEM","NLD",NA,221,NA,"447419","NLD","DHR","01/01/2009"," 9:00:00","NLD","SCE","01/01/2009","18:00:00",NA,NA,NA,NA,"GNS","140","34F5",NA,"KWDAYS",83.98,NA,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.588696852969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2845","GNS_DEM","NLD",11.47,25,NA,"447440","NLD","IJM","01/01/2009"," 6:00:00","NLD","IJM","01/01/2009","16:00:00",NA,NA,NA,NA,"GNS","140","34F4",NA,"KWDAYS",10.5,NA,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2899.06436223563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459","GNS_DEM","NLD",NA,46,NA,"447444","NLD","IJM","01/01/2009","10:00:00","NLD","IJM","02/01/2009"," 6:00:00",NA,NA,NA,NA,"GNS","160","34F4",NA,"KWDAYS",38.18,NA,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.354787411876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"467","GNS_DEM","NLD",8,29,NA,"447452","NLD","IJM","01/01/2009"," 2:00:00","NLD","IJM","01/01/2009","14:00:00",NA,NA,NA,NA,"GNS","140","33F4",NA,"KWDAYS",14.5,NA,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.695054873174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2465","GNS_DEM","NLD",6.95,44,NA,"447457","NLD","IJM","01/01/2009"," 8:00:00","NLD","IJM","01/01/2009","16:00:00",NA,NA,NA,NA,"GNS","140","33F4",NA,"KWDAYS",14.52,NA,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238.14207137147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"986","TBB_DEM","NLD",42,1469,NA,"447651","NLD","TEX","02/01/2009"," 8:00:00","NLD","DHR","05/01/2009"," 8:00:00",NA,NA,NA,NA,"TBB","80","34F3",NA,"KWDAYS",4407,NA,0,0,0,40,0,0,186,0,0,0,0,120,0,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2922,0,0,0,200,0,160,0,0,0,0,562,0,0,0,0,40,0,0,40,0,0,0,0,445.892547169811,0,0,561.693720183153,0,0,0,0,111.494436881750,0,0,0,382.694157159806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4877.89729442334,0,0,0,502.439790575916,0,508.527052105639,0,0,0,0,7240.58723340464,0,0,0,0,608.822659938141,0,0,31.6467993346066,0
"986","TBB_DEM","NLD",42,1469,NA,"447651","NLD","TEX","02/01/2009"," 8:00:00","NLD","DHR","05/01/2009"," 8:00:00",NA,NA,NA,NA,"TBB","80","35F3",NA,"KWDAYS",4407,NA,0,0,0,40,0,0,200,0,0,0,0,120,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,22,0,0,0,0,628,0,0,0,0,100,0,0,120,0,0,0,0,445.892547169811,0,0,603.971742132422,0,0,0,0,111.494436881750,0,0,0,209.740556721730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4173.42342096453,0,0,0,0,0,69.9224696645253,0,0,0,0,8090.9053070785,0,0,0,0,1522.05664984535,0,0,94.9403980038199,0
"986","TBB_DEM","NLD",42,1469,NA,"447651","NLD","TEX","02/01/2009"," 8:00:00","NLD","DHR","05/01/2009"," 8:00:00",NA,NA,NA,NA,"TBB","80","35F4",NA,"KWDAYS",4407,NA,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.105023330184,0,0,0,0,0,0,0,0,156.481828967783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919.77477364368,0,0,0,0,0,0,0,0,0,0,2293.28207748403,0,0,0,0,0,0,0,0,0
"339","TBB_DEM","NLD",44,1471,NA,"447653","NLD","DHR","02/01/2009"," 9:00:00","NLD","DHR","05/01/2009"," 5:00:00",NA,NA,NA,NA,"TBB","80","34F3",NA,"KWDAYS",4162.93,NA,0,0,0,70,0,0,490,0,0,0,0,180,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3850,0,0,0,0,0,0,0,0,0,0,1650,0,0,0,0,100,0,0,260,0,0,0,0,780.31195754717,0,0,1479.73076822443,0,0,0,0,167.241655322625,0,0,0,587.493182440449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6427.07206828537,0,0,0,0,0,0,0,0,0,0,21257.9518418464,0,0,0,0,1522.05664984535,0,0,205.704195674943,0
"339","TBB_DEM","NLD",44,1471,NA,"447653","NLD","DHR","02/01/2009"," 9:00:00","NLD","DHR","05/01/2009"," 5:00:00",NA,NA,NA,NA,"TBB","80","34F4",NA,"KWDAYS",4162.93,NA,0,0,0,0,0,0,200,0,0,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,80,0,0,200,0,0,0,0,0,0,0,603.971742132422,0,0,0,0,92.9120307347914,0,0,0,109.811809801953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669.36936838581,0,0,0,0,0,0,0,0,0,0,7730.16430612595,0,0,0,0,1217.64531987628,0,0,158.233996673033,0
